Overall project title,Priority,Time Span,$CAD,$3D Printing,$LEGO,$PCB Design / Electronics,$Coding,$Science Fair,$Blender,$Awards,$Other,Links,Header Image,Description
"SandCASTLE: A portable, economical, environmentally friendly habitat printer for low-resource communities",1,2025 - Present,x,x,,x,x,x,x,x,,"https://github.com/AmusedMoose/sf2025
https://aidengrover.com/assets/sandcastle_fullposter.pdf",assets/sandcastle.png,"One of the biggest problems faced by humans is a worldwide lack of affordable housing. Alternative technologies for building houses exist, namely 3D printing houses using cement, but this technology also has its downsides: since the 3D printer has to extrude 100% of the house material, the gantry must be large and strong, making these machines quite expensive, and the main ingredient in the cement, Portland cement, has a significant environmental footprint and must be transported to the building site.

In this project, I designed, built, and demonstrated a novel 3D printer that uses a simple and low-cost motor and chain system to move the extruder head. In addition, I created a novel method of construction that takes advantage of the on-site sand material, where layers of this sand are laid out, smoothed out with the extruder head, and resin is selectively dispensed, also with the extruder head. A new layer of sand is poured on top, and this process is repeated until a fully 3D object has been created. As a proof-of-concept, I used my prototype printer to fabricate several test structures, including a small house structure. Compared to existing house 3D printers the equipment is a tiny fraction of the cost and size, a much tinier fraction of the final house’s mass needs to be transported to the site and extruded, and the materials themselves are much more environmentally friendly. [Project Poster](assets/sandcastle_fullposter.pdf).

*This project received several awards, including placing 5th in the Applied Mechanics category at the 2026 California Science and Engineering Fair.* I am continuing this project into the 26-27 school year, where I have several ideas on how to improve my design."
BrickMoose,2,April 2023 - Present,,,x,,x,,,,x,"brickmoose.com
https://www.raincrossgazette.com/brick-by-brick-local-students-business-builds-riverside-in-miniature/","assets/brickmoose1.png
assets/brickmoose2.png
assets/brickmoose3.png
assets/brickmoose4.png
assets/brickmoose5.png
assets/brickmoose6.png
assets/brickmoose7.png
assets/brickmoose8.png
assets/brickmoose9.png
assets/brickmoose10.png|carousel","For an 8th grade project, I started [BrickMoose](https://brickmoose.com), a company where I make unique LEGO sets featuring various locations and architecture and sell them online. Over time, I continued to expand the number of sets, adding in local landmarks. I have also established partnerships with several physical stores. In early 2025 I partnered with [Destination PSP](https://destinationpsp.com/collections/brick-sets-inspired-by-palm-springs), Palm Springs' top source for Midcentury Modern products, to make a LEGO rendition of an iconic Midcentury house design. This set was so popular that I have since created four more unique sets for them.

As of August 2026, BrickMoose has produced over 40 different set designs, and over 5000 sets have been sold, and in-person sales are taking place in 10+ stores, including the [MIT Museum](https://mitmuseum.mit.edu/)’s gift shop, [Destination PSP](https://destinationpsp.com/), the [Medora Musical](https://medora.com/medoramusical/), [Muse Market](https://www.musemarket.online/), and more."
"Custom circuit board design for the ""Ottersampler"" water sample collector and analyzer",3,March 2026 - Present,x,x,,x,x,,,,x,ottersampler.org,"assets/ottersampler1.png
assets/ottersampler2.png|carousel","I designed the custom circuit boards for the [Ottersampler](https://ottersampler.org), a water sample collector that helps monitor well water for hazardous contaminants. This work was for [Dr. Samantha Ying in the Environmental Sciences Department at the University of California, Riverside](https://ucrsoils.weebly.com/our-research.html). To do this I went through multiple stages of PCB design, with the current iteration utilizing an ATmega328PB. The Ottersampler has been deployed to over 100 homes throughout California. I am actively continuing to work on this project by adding new features like water conductivity testing, while also consolidating the Ottersampler's components onto the PCB to simplify the Ottersampler’s assembly process."
Custom NES controller with capacitive touch,4,Aug 2026 - Present,,,,x,x,,,,x,https://github.com/AmusedMoose/capacitiveTests/tree/main/capacitive-nentindo,"assets/nentindo.png
assets/nentindo.mp4","I wanted to learn how capacitive touch sensors worked, so I designed a custom NES controller, the ""Nentindo”. It is a custom PCB with several capacitive touch pads where the buttons would normally go. I was able to successfully connect this to my custom “Otterino” dev-board, and made a custom Python script to interpret its Serial commands as keystrokes on my computer. My next steps will be to use a different MCU with USB capabilities, so this could be plugged into any computer.


As far as I know, this may be the world’s thinnest NES controller!"
Robotic arm,5,May 2026 - Present,x,x,,x,x,,x,,,https://github.com/AmusedMoose/roboticArm,assets/robotarm.mp4,"To get better at controlling stepper motors with custom code, I designed and built this custom robotic arm. It uses Inverse Kinematics (IK) to figure out what angles each of the motors need to be at in order to get the end effector to the user’s target point. The demo shown above is my mouse controlling a real-time IK simulation, which then controls the physical arm. I also made a tool for Blender which allows a user to draw out a toolpath with lines and shapes, which can then be exported. I am currently working on combining the two so I can turn any SVG file into arm movements. This will also be useful for the next generation of my SandCASTLE robot."
3D model of Riverside's historic Weber House,6,April 2025 - Present,x,,,,,,x,x,,"https://github.com/AmusedMoose/weberHouse
https://oldriverside.org/the-weber-house/","assets/weberhouse.mp4
assets/weberhouse.png","I worked with the [Old Riverside Foundation](https://oldriverside.org/), a local non-profit civic organization in Riverside, CA, to create a detailed 3D model of the [Weber house](https://oldriverside.org/the-weber-house/), a historic structure dating back to the 1930s. Currently utilizing photogrammetry software, Blender, and 3D printing to create a highly detailed 3D model of the house, along with improvements that had been planned."
PCB design for studying blood clotting on model blood vessel,7,May - December 2025,,,,x,x,,,,,Paper will be linked here once it is published.,assets/pcbblood.png,"I started working with a student in [Dr. Masaru Rao's lab in the Mechanical Engineering Department at the University of California, Riverside](https://intra.engr.ucr.edu/~mprao/) in 2025, designing custom printed circuit boards for a project testing the viability of a light-based approach to study blood clotting on a model blood vessel. I learned KiCad and made several circuits to help with this project, including Arduino and STM32, integration, and flexible PCBs.

I am a coauthor on a manuscript about this project that is currently in preparation."
Decreasing Pickleball Noise,8,October 2022 - October 2023,,,,,,x,,x,,Need to make github repo,"assets/pickleball.png
assets/pickleball2.png","Pickleball is a rapidly growing sport, but there have been many complaints about games being too loud. The average noise level from a pickleball game is 70 decibels when measured at 100 feet away from the court. While this is not damaging, it adds noise to the environment, which annoys nearby communities.

The goal of this project was to change the ball so it was not as loud, while still keeping the gameplay the same. I made 19 prototypes (not counting the control ball) using reasoning from different hypotheses and different materials. I found 15 designs that were quieter than the original ball, and one of them also bounced as well as the original ball. This new ball design could be a peaceful compromise between pickleball players and their communities. [Project Poster](assets/pickleball_fullposter.pdf) and [Reference Document](assets/pickleball_references.pdf).

*This eighth-grade science fair project received numerous awards, including being one of the top 30 middle school projects in the US to be awarded the Thermo-Fisher Junior Innovators Challenge; selected to compete in Washington DC.*"
PCB Dice with RGB / Haptics / Battery / Capacitive Touch,9,May 2026,,,,x,x,,,,x,Need to make github repo & make renders,assets/favicon.png,"I created a custom Printed Circuit Board with two dice faces on it, with the pips indicated by multicolored lights that can each be independently controlled. Each face is ”rolled” as the capacitive button is pressed, landing on random faces each time. Additionally, each time the faces change, a haptic is triggered to provide tactile feedback to the user. This project was also designed to be battery-powered, going into a sleep mode after a period of inactivity to conserve battery. Upon wake-up, it randomly chooses a different color for the faces/"
Electronic musical instrument,10,August 2026 - Present,,,,x,x,,,,,https://github.com/AmusedMoose/capacitiveTests/tree/main/capacitive-scroll,assets/capacitivescroll.mp4|sound,"As another test to learn capacitive sensing, I made this scroll bar, which uses multiple pads to accurately interpret a finger’s position. In the above demo I use this to control the pitch of notes produced by a speaker, but it can also be hooked up to a keyboard to act as a scroll wheel."
